Country Name,Country Code,Region,Income Group,CO2 emissions Tg,Population millions,GDP million US dollar
Sweden,SWE,Eur&C.Asia,H,43.42095,9.69611,573818
Australia,AUS,EasAsi&Pac,H,361.26184,23.504138,1464960
Denmark,DNK,Eur&C.Asia,H,33.49805,5.643475,352994
Switzerland,CHE,Eur&C.Asia,H,35.30588,8.188649,709183
Qatar,QAT,MidEas&N.Afr,H,107.8538,2.374419,206225
Isle of Man,IMN,Eur&C.Asia,H,,0.08259,7428.28
"Macao SAR, China",MAC,EasAsi&Pac,H,1.28345,0.588781,55348
Norway,NOR,Eur&C.Asia,H,47.627,5.137232,499339
Luxembourg,LUX,Eur&C.Asia,H,9.65888,0.556319,66327.34
Liechtenstein,LIE,Eur&C.Asia,H,0.044,0.037127,6657.17
